OG_ID,analysis_cafe_contr,pvalue
OG0000075,contracted,0.009341536
OG0002592,contracted,0.009341536
OG0002987,contracted,0.012987013
OG0005755,contracted,0.012987013
OG0009603,contracted,0.012987013
OG0012347,contracted,0.012987013
OG0013528,contracted,0.012987013
OG0014740,contracted,0.012987013
OG0015347,contracted,0.012987013
OG0016341,contracted,0.012987013
OG0017954,contracted,0.012987013
OG0018042,contracted,0.012987013
OG0018418,contracted,0.012987013
OG0018504,contracted,0.012987013
OG0018698,contracted,0.012987013
OG0019395,contracted,0.012987013
OG0019405,contracted,0.012987013
OG0019729,contracted,0.012987013
OG0020948,contracted,0.012987013
OG0021038,contracted,0.012987013
OG0021135,contracted,0.012987013
OG0021448,contracted,0.012987013
OG0022809,contracted,0.012987013
OG0022822,contracted,0.012987013
OG0022849,contracted,0.012987013
OG0023256,contracted,0.012987013
OG0024961,contracted,0.012987013
OG0000216,contracted,0.045796309
OG0001531,contracted,0.045796309
OG0003761,contracted,0.045796309
OG0013924,contracted,0.045796309
OG0014272,contracted,0.045796309
OG0014989,contracted,0.045796309
OG0015717,contracted,0.045796309
OG0019553,contracted,0.045796309
