sp,fb,average_kover1,average_kunder1,average_kratio,sister_sp,relaxed_ratio
Asmes,B,1242.2,4713.8,0.263537289,1,0.791437206
Trros,F,1266,4544,0.278616753,5,0.782099828
Asmec,F,1294,4499,0.287624956,1,0.776626964
Sians,F,367.2,1259.8,0.291496179,2,0.774308543
Trtib,B,1310.2,4210.8,0.311166775,5,0.762687919
Sirhi,F,390.2,1147.8,0.340014031,2,0.746293888
Hosap,B,1544.6,4194.4,0.368261329,6,0.730859035
Sigra,B,500.4,1329.6,0.376396404,2,0.726557377
Gamor,B,1704.4,4041.6,0.421742487,6,0.703376262
Prang,F,1492,3470,0.429982343,3,0.699314792
Luden,F,1656.2,3632.8,0.455924648,4,0.68685952
Thmac,B,1905,4073,0.467723906,4,0.681331549
Tagut,B,1790.4,3751.6,0.477295388,6,0.676939733
Xetro,B,1964,3853,0.509793657,6,0.662368919
Zoviv,B,1978.2,3740.8,0.528827863,6,0.654100367
Ammel,B,2032.4,3546.6,0.573083208,6,0.635705324
Mymur,B,2245.8,3649.2,0.615541015,6,0.619033079
Nebri,B,2183,3459,0.631228815,4,0.613080468
Leocu,B,2217.8,3503.2,0.633120126,6,0.6123405
Ammex,B,1927.8,2869.2,0.6720281,3,0.598123827
Plwal,B,1342.8,1896.2,0.708261709,3,0.585427601
Darer,B,2076,2726,0.761750988,6,0.567680133
