species,gene_family_fate,Number,cave_or_not
Asmec,Increase,307,TRUE
Luden,Increase,1476,TRUE
Prang,Increase,3250,TRUE
Sians,Increase,1346,TRUE
Sirhi,Increase,1849,TRUE
Trros,Increase,499,TRUE
Ammel,Increase,705,FALSE
Ammex,Increase,2318,FALSE
Asmes,Increase,387,FALSE
Darer,Increase,837,FALSE
Gamor,Increase,600,FALSE
Hosap,Increase,578,FALSE
Leocu,Increase,538,FALSE
Mymur,Increase,616,FALSE
Nebri,Increase,884,FALSE
Sigra,Increase,2153,FALSE
Tagut,Increase,271,FALSE
Thmac,Increase,556,FALSE
Trtib,Increase,582,FALSE
Xetro,Increase,729,FALSE
Zoviv,Increase,914,FALSE
Asmec,Decrease,963,TRUE
Luden,Decrease,1899,TRUE
Prang,Decrease,1403,TRUE
Sians,Decrease,1711,TRUE
Sirhi,Decrease,760,TRUE
Trros,Decrease,774,TRUE
Ammel,Decrease,2181,FALSE
Ammex,Decrease,2630,FALSE
Asmes,Decrease,329,FALSE
Darer,Decrease,1893,FALSE
Gamor,Decrease,2391,FALSE
Hosap,Decrease,1285,FALSE
Leocu,Decrease,3111,FALSE
Mymur,Decrease,1437,FALSE
Nebri,Decrease,1773,FALSE
Sigra,Decrease,1633,FALSE
Tagut,Decrease,1890,FALSE
Thmac,Decrease,1090,FALSE
Trtib,Decrease,1693,FALSE
Xetro,Decrease,2718,FALSE
Zoviv,Decrease,509,FALSE
