OG_ID,analysis_cafe_expanded
OG0002014,exapnded
OG0002628,exapnded
OG0003522,exapnded
OG0005801,exapnded
OG0000235,exapnded
OG0003164,exapnded
OG0003428,exapnded
OG0004338,exapnded
OG0005317,exapnded
OG0011829,exapnded
OG0000666,exapnded
OG0000746,exapnded
OG0001075,exapnded
OG0001214,exapnded
OG0001389,exapnded
OG0001508,exapnded
OG0001770,exapnded
OG0001808,exapnded
OG0001811,exapnded
OG0002022,exapnded
OG0002234,exapnded
OG0004048,exapnded
OG0004482,exapnded
OG0004672,exapnded
OG0006383,exapnded
OG0007397,exapnded
OG0012134,exapnded
OG0012255,exapnded
OG0013266,exapnded
OG0013565,exapnded
OG0014775,exapnded
OG0015204,exapnded
